drop_id,n_charges,measurement,fall_velocity,rise_velocity,radius,charge_const,q_est[C]
1,1,1,2.9932950414632385e-05,6.574152871240434e-05,4.98187937679519e-07,2.72466895889534e-13,1.426213732033456e-19
1,1,2,2.921136559120126e-05,8.444774732377552e-05,4.917014835594229e-07,2.7172848979816e-13,1.6692268709297705e-19
1,1,3,3.151957830770248e-05,9.165213879550104e-05,5.121823391553648e-07,2.7400696936897533e-13,1.8947975057357046e-19
1,1,4,2.8347359508977443e-05,7.148298942117123e-05,4.838290516797819e-07,2.7081038740988983e-13,1.4394089983972134e-19
1,1,5,2.849783281424047e-05,7.771453644548659e-05,4.852085881138843e-07,2.7097304740024085e-13,1.5364099438783483e-19
1,1,6,3.0295933446635112e-05,7.24906457017294e-05,5.014214597870672e-07,2.728290765015966e-13,1.543544783998829e-19
1,1,7,2.8601865768314095e-05,6.577413994152459e-05,4.861602440105195e-07,2.7108481259169375e-13,1.3682452901015843e-19
1,1,8,3.2543771584140896e-05,7.302945979045267e-05,5.210304584639675e-07,2.7494505998472484e-13,1.6558983642134218e-19
1,1,9,2.7786771608750575e-05,7.293668045800533e-05,4.786572715697482e-07,2.7019372266716696e-13,1.4345804314239128e-19
1,1,10,2.6450574023489687e-05,7.430543836435126e-05,4.6611678019024705e-07,2.6865193353793914e-13,1.3921258327385343e-19
2,1,1,3.734680644960412e-05,5.4795879237690575e-05,5.60787397000981e-07,2.788514694828171e-13,1.5702201255861663e-19
2,1,2,3.972082204788209e-05,5.408007854746892e-05,5.794961520118998e-07,2.8053221251112734e-13,1.6584365442141554e-19
2,1,3,3.150544274489248e-05,5.48331997745824e-05,5.120592276665124e-07,2.7399372653956715e-13,1.3278182357931628e-19
2,1,4,3.608305753004345e-05,5.1285354850542906e-05,5.505864341593051e-07,2.778944882994294e-13,1.4584315222970066e-19
2,1,5,4.05727029312503e-05,5.491023316679058e-05,5.860731504932414e-07,2.811013780982184e-13,1.7096440942158216e-19
2,1,6,3.166060952560431e-05,4.83043097250176e-05,5.134091279348825e-07,2.7413864335307796e-13,1.2334722915568522e-19
2,1,7,4.234886426296645e-05,4.337921346460864e-05,5.995685066574895e-07,2.822358619657289e-13,1.5745489460598319e-19
2,1,8,4.638571985755813e-05,5.175031511994752e-05,6.292287841842381e-07,2.845821800820969e-13,1.9020781622624346e-19
2,1,9,4.343022144597465e-05,5.9744551673975934e-05,6.076469262094107e-07,2.8289434086227386e-13,1.9235071463625352e-19
2,1,10,3.395398726959103e-05,5.373459164244081e-05,5.329897846569327e-07,2.761715218953848e-13,1.4111309455607653e-19
3,6,1,2.6114293500097623e-05,0.0006914738362411,4.629114316583836e-07,2.682468962478161e-13,1.6394487379387397e-19
3,6,2,3.0379048726363935e-05,0.0007497837258753,5.021591512005582e-07,2.7291116182817835e-13,1.9558806822714134e-19
3,6,3,3.1647012638613765e-05,0.000689858936776,5.132909712039306e-07,2.7412598413789756e-13,1.8544077356050403e-19
3,6,4,2.5555551596240812e-05,0.0006035083394126,4.575399409952165e-07,2.6755776279569036e-13,1.4180896655318836e-19
3,6,5,2.7563358128795784e-05,0.0005908452331989,4.7658170052968234e-07,2.6994314615422903e-13,1.4607053947931165e-19
3,6,6,2.489553179031512e-05,0.0006699694645117,4.511190719694011e-07,2.6671648705378174e-13,1.541202662274616e-19
3,6,7,3.294547463898725e-05,0.000602272710792,5.244629248973896e-07,2.753018527973703e-13,1.6729335508347412e-19
3,6,8,2.6754592808582315e-05,0.0007685104148931,4.6899723159778894e-07,2.690120465191303e-13,1.8442998222346557e-19
3,6,9,2.963800440732223e-05,0.0006178423509164,4.955461155144225e-07,2.7216808673319655e-13,1.5989578867258813e-19
3,6,10,2.985150837503057e-05,0.0007190765100086,4.974597625455241e-07,2.723847964248976e-13,1.8576112452134576e-19
