drop_id,mean,std,count
1,1.5360451753450774e-19,1.637843881535526e-20,10
2,1.5769288013908733e-19,2.2893355887218985e-20,10
3,1.6843537383423544e-19,1.8532040019103693e-20,10
4,1.596615815028692e-19,9.541000838686658e-21,10
5,1.6512162140322595e-19,1.4873618086015208e-20,10
6,1.566057030242585e-19,1.5162938463532316e-20,10
7,1.606436965782388e-19,1.1432998086969401e-20,10
8,1.4737024620918654e-19,2.2580295180100943e-20,10
9,1.5577008926440076e-19,2.1286199160082355e-20,10
10,1.6543578008349068e-19,1.6600900898372266e-20,10
