drop_id,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10
1.0,2.9932950414632385e-05,2.921136559120126e-05,3.151957830770248e-05,2.8347359508977443e-05,2.8497832814240474e-05,3.0295933446635112e-05,2.8601865768314095e-05,3.2543771584140896e-05,2.7786771608750575e-05,2.6450574023489687e-05
2.0,3.734680644960412e-05,3.972082204788209e-05,3.150544274489248e-05,3.608305753004345e-05,4.05727029312503e-05,3.166060952560431e-05,4.234886426296645e-05,4.638571985755813e-05,4.343022144597465e-05,3.395398726959103e-05
3.0,2.6114293500097626e-05,3.0379048726363935e-05,3.1647012638613765e-05,2.5555551596240812e-05,2.7563358128795784e-05,2.489553179031512e-05,3.294547463898725e-05,2.6754592808582315e-05,2.963800440732223e-05,2.985150837503057e-05
4.0,3.3376827871238956e-05,3.161783222945304e-05,3.543735646477048e-05,3.1641953369138284e-05,3.171786051877453e-05,3.3537604489274006e-05,3.1392444529011034e-05,3.681247527718047e-05,3.045817712816717e-05,3.473341119341041e-05
5.0,5.225479733887107e-05,5.1217387976791035e-05,5.588764443899304e-05,6.0008389396019754e-05,5.46688271075021e-05,5.046506362288124e-05,4.621994561134791e-05,6.069156232886638e-05,5.261488432612325e-05,4.988672439034359e-05
6.0,2.886162733655003e-05,2.606083770355556e-05,2.596426389087961e-05,2.806977494362791e-05,2.460306542317499e-05,2.3131935043118643e-05,2.6078094297099395e-05,2.8737566962168934e-05,2.1313727941988477e-05,2.677677788331597e-05
7.0,2.6606670204178087e-05,2.310280978312325e-05,2.581973372163657e-05,2.7444466526034892e-05,2.275296160233978e-05,2.708081936574766e-05,2.625649020495717e-05,2.8795661070729548e-05,2.2232223895969313e-05,2.4053968731858655e-05
8.0,3.0244097902083386e-05,3.174852731917458e-05,3.439072145140365e-05,2.9719813071712054e-05,3.128501487510935e-05,2.9928451731815432e-05,3.133375370608542e-05,2.9112874222027054e-05,2.959409241403938e-05,2.9732296840612142e-05
9.0,3.625334389891039e-05,3.244738736072354e-05,3.1123829790727e-05,3.152867940527419e-05,3.011457482527746e-05,3.3765033787735724e-05,3.2640753616338095e-05,3.336858180376474e-05,3.7485124980854074e-05,3.144844405752902e-05
10.0,3.512921337513601e-05,3.083628924464245e-05,3.531065835454012e-05,3.4873422046874496e-05,3.709046790092885e-05,3.03891002580105e-05,3.277608884816304e-05,3.218597614603063e-05,3.1850658549352435e-05,3.7182990727618126e-05
