video,track_id,vf_mm_s,vr_mm_s,delta_vf_mm_s,delta_vr_mm_s,radius_um,delta_radius_um,charge_C,delta_charge_C,n,e_calc,delta_e_calc,error_pct,dq_d,dq_V,dq_eta,dq_rho,dq_b,dq_p,dq_vf,dq_vr,dq_g
trial1drop1.mov,6,0.0923869238772636,0.1772024950894504,0.004619346193863181,0.008860124754472521,0.891649325962895,0.02344244071367614,1.1296845523016578e-18,6.532515295603071e-20,7,1.613835074716654e-19,9.332164708004387e-21,0.7387687089047438,1.5062460697355544e-20,2.259369194979034e-22,3.900909745229206e-21,3.602798895658524e-21,1.4353350291955405e-21,1.4521024337139076e-21,5.1279966525907956e-20,3.712736985359558e-20,6.507677697310024e-23
trial1drop1.mov,77,0.1521259622886448,0.2586266371187264,0.007606298114432241,0.01293133185593632,1.155186807847442,0.03008962360333397,2.2730879600571104e-18,1.3084889779235447e-19,14,1.6236342571836504e-19,9.346349842311034e-21,1.350453007718502,3.0307839467428334e-20,4.546176101961345e-22,7.777212972625174e-21,7.065234745703809e-21,2.251524267487447e-21,2.277832820642774e-21,1.0469452357914557e-19,7.156145765514626e-20,1.2761820483988711e-22
trial1drop1.mov,140,0.1148797900723459,0.1207492987324043,0.005743989503617296,0.006037464936620216,0.9987503523995173,0.026144366582297594,1.115934501220011e-18,6.689810830603636e-20,7,1.5941921446000157e-19,9.556872615148051e-21,-0.4873817353298544,1.487912668293353e-20,2.231869091714466e-22,3.836906867386956e-21,3.5166838692607125e-21,1.2717400566437988e-21,1.2865980919194955e-21,5.836073784043302e-20,2.8593309327200453e-20,6.352129658329467e-23
trial1drop1.mov,192,0.0967439318404554,0.0482336956521805,0.00483719659202277,0.0024116847826090248,0.9133350782483279,0.023989598147329486,6.235198236001432e-19,4.073130688746529e-20,4,1.558799559000358e-19,1.0182826721866322e-20,-2.6966567415506826,8.313597648001987e-21,1.2470396970815972e-22,2.151037439358319e-21,1.9833247543588855e-21,7.742089211005935e-22,7.832533651762548e-22,3.8373834697396045e-20,1.0372174632999224e-20,3.582447622823111e-23
trial1drop1.mov,207,0.1241393380190124,0.1162751162093245,0.006206966900950621,0.005813755810466226,1.039759129887195,0.0271787175123966,1.188863448130252e-18,7.194842600351717e-20,7,1.6983763544717884e-19,1.0278346571931024e-20,6.016002151797033,1.5851512641736782e-20,2.3777269913711713e-22,4.081841947357687e-21,3.7316311517954085e-21,1.3034166834041015e-21,1.3186453877381046e-21,6.375495687307553e-20,2.874936035606904e-20,6.740385535164842e-23
trial2.mov,2,0.1960086482070394,0.1926774019407538,0.009800432410351972,0.009633870097037691,1.3165508988417516,0.03415805195000839,2.4712647816714102e-18,1.4757022115010202e-19,15,1.6475098544476068e-19,9.838014743340134e-21,2.8408148843699648,3.2950197088952213e-20,4.942529761045222e-22,8.42234897617645e-21,7.597023627568927e-21,2.15674795645679e-21,2.181951688513036e-21,1.2961908184327625e-19,6.125211818884156e-20,1.3722382461565508e-22
trial2.mov,28,0.2325059275180371,0.1143492321051272,0.011625296375901855,0.00571746160525636,1.4373973814924765,0.0372044077459755,2.4195091878479564e-18,1.5567926376339947e-19,15,1.613006125231971e-19,1.0378617584226631e-20,0.687024046939511,3.226012250463962e-20,4.839018569256072e-22,8.226436316318044e-21,7.387979647504912e-21,1.9389128737001454e-21,1.9615724109655475e-21,1.4654210399534156e-19,3.9882499946418075e-20,1.3344789780615975e-22
trial2.mov,170,0.1952761614557789,0.2863113313116777,0.009763808072788946,0.014315566565583885,1.314015193726927,0.034094126534308385,3.0556930628113053e-18,1.766460146859329e-19,19,1.6082595067427922e-19,9.297158667680678e-21,0.3907307579770411,4.074257417081771e-20,6.111386370080203e-22,1.0414710954868891e-20,9.395084242193814e-21,2.6717887778287837e-21,2.7030112261151373e-21,1.4519526439602282e-19,9.083287689489634e-20,1.6970190632756744e-22
trial2.mov,424,0.1227008086253377,0.2888265947888613,0.0061350404312668855,0.014441329739443065,1.0334909017412408,0.027020622615876996,2.0218731541857144e-18,1.1543910820870856e-19,13,1.5552870416813189e-19,8.87993140066989e-21,-2.9159150011661117,2.695830872247635e-20,4.043746470122817e-22,6.943359117232988e-21,6.350042625683368e-21,2.2296291599881273e-21,2.255679287539033e-21,8.64091158061173e-20,7.095162234320446e-20,1.1469980197878266e-22
trial2.mov,476,0.1241537889258919,0.1999568733153623,0.006207689446294596,0.009997843665768115,1.0398219135517939,0.027180301006888622,1.6028498279562485e-18,9.289704787193274e-20,10,1.6028498279562484e-19,9.289704787193274e-21,0.05304793734384651,2.1371331039416665e-20,3.20569978414079e-22,5.503210603645484e-21,5.031031311084422e-21,1.757190694774352e-21,1.777721150920706e-21,7.527649082924836e-20,4.9443118868090526e-20,9.0874712148613e-23
trial2.mov,862,0.1889935906194596,0.2875241936982882,0.009449679530972982,0.014376209684914409,1.292068175425327,0.03354083178054654,2.9700989904719517e-18,1.713942767387334e-19,19,1.5632099949852378e-19,9.020751407301759e-21,-2.42134862763809,3.9601319872959413e-20,5.940198218553593e-22,1.0127817235289393e-20,9.144286176560397e-21,2.639720551630333e-21,2.6705678600708593e-21,1.3992090654089032e-19,8.960581803491586e-20,1.651717806003883e-22
trial2.mov,1552,0.0761740469772786,0.4325616359861343,0.00380870234886393,0.021628081799306715,0.8060888278638039,0.02128320153429029,1.9103655357418672e-18,1.0996121726097066e-19,12,1.5919712797848893e-19,9.163434771747555e-21,-0.626012497822138,2.5471540476558422e-20,3.8207312243137096e-22,6.624415290847779e-21,6.163505985024631e-21,2.672558689682808e-21,2.7037756178155995e-21,6.892116899756987e-20,8.121612746510041e-20,1.1133041447270375e-22
trial2.mov,1603,0.2115607551294926,0.1782679037877048,0.010578037756474631,0.00891339518938524,1.3693127961702323,0.03548814481152534,2.5836236593328707e-18,1.5651968515374898e-19,16,1.6147647870830442e-19,9.782480322109311e-21,0.7968031887043808,3.444831545777194e-20,5.16724752535642e-22,8.795738790599171e-21,7.918023740180424e-21,2.1704191882474605e-21,2.1957834117813135e-21,1.4025716253104198e-19,5.90743091086358e-20,1.4302199899998628e-22
trial2.mov,1733,0.1883698418606792,0.2350246474522406,0.009418492093033961,0.01175123237261203,1.2898694647916962,0.0334854004435192,2.6342301184627886e-18,1.5413772619686494e-19,16,1.6463938240392429e-19,9.633607887304059e-21,2.771150064871591,3.51230682461708e-20,5.26846044766385e-22,8.982966822748959e-21,8.111338415817679e-21,2.3450814375515017e-21,2.3724856098322353e-21,1.3046627647018656e-19,7.311254876090549e-20,1.4651381015947304e-22
trial2.mov,1756,0.1426218711131769,0.31624195338512,0.007131093555658846,0.015812097669256002,1.1172794471635745,0.029133730311988456,2.4505621295111462e-18,1.3974788453547095e-19,15,1.6337080863407642e-19,9.316525635698063e-21,1.979281294679416,3.2674161726815304e-20,4.901124455068425e-22,8.393415100110012e-21,7.639848447237413e-21,2.5067911026858894e-21,2.5360815517689404e-21,1.0577903660938168e-19,8.444450328760666e-20,1.3799735951984647e-22
trial2.mov,2149,0.2229539097930429,0.1743426792390661,0.011147695489652144,0.008717133961953305,1.4067448424166493,0.03643173822800118,2.70912058410728e-18,1.6531334432524584e-19,17,1.5936003435925176e-19,9.724314372073284e-21,-0.5243231215656893,3.6121607788097343e-20,5.418241384944361e-22,9.216327007318589e-21,8.285608504110037e-21,2.2169803848342097e-21,2.242889233123358e-21,1.4942097295885438e-19,5.944115228444518e-20,1.4966162433349007e-22
trial2.mov,2290,0.2519900538707156,0.1049678504670506,0.012599502693535781,0.005248392523352531,1.4980299638219998,0.038732734414928006,2.600624815477571e-18,1.7039660596238777e-19,16,1.625390509673482e-19,1.0649787872649235e-20,1.4600817524021183,3.467499753970131e-20,5.201249839006841e-22,8.832950330170605e-21,7.917261659099005e-21,2.001919545580866e-21,2.025316074072359e-21,1.619303972940478e-19,3.823728140414649e-20,1.4300823489347481e-22
trial2.mov,2339,0.1408404951137112,0.19774504877422,0.00704202475568556,0.009887252438711,1.1100353920906347,0.028951052711046577,1.7957006672841373e-18,1.0471200564443209e-19,11,1.6324551520764884e-19,9.519273240402918e-21,1.9010706664474668,2.3942675563788767e-20,3.5914014782240363e-22,6.15175829716531e-21,5.601603972477089e-21,1.8484695899454652e-21,1.870067798129703e-21,8.697928558887379e-20,5.2437400598758683e-20,1.0118087575220948e-22
trial2.mov,2343,0.0510605887481506,0.0784634082804549,0.0025530294374075304,0.003923170414022745,0.6530214366784406,0.017417880508067755,3.857707822821618e-19,2.2933458361180836e-20,2,1.928853911410809e-19,1.1466729180590418e-20,20.40286588082454,5.1436104304288374e-21,7.715415954261216e-23,1.3511743593141896e-21,1.2790840548799204e-21,6.588050382273671e-22,6.664981115292558e-22,1.8936972528979507e-20,1.1684665037858178e-20,2.3103887387705367e-23
trial2.mov,2553,0.1195228375245248,0.5043380195510966,0.00597614187622624,0.025216900977554836,1.0195118643443462,0.02666804022137687,3.0206213845763536e-18,1.7188892850912593e-19,19,1.5898007287243965e-19,9.046785711006627e-21,-0.7615025765045855,4.027495179435171e-20,6.041243010801478e-22,1.0378149611102701e-20,9.499489947319844e-21,3.3749325177314415e-21,3.4143634202593784e-21,1.1311494250573086e-19,1.2209567162556153e-19,1.715877636511726e-22
trial2.mov,2808,0.1755394215740174,0.226647033147173,0.00877697107870087,0.011332351657358651,1.2438075022243569,0.032324104528872015,2.4076585193472934e-18,1.4067916273852697e-19,15,1.6051056795648622e-19,9.378610849235132e-21,0.19386264449826693,3.210211359129746e-20,4.815317231308163e-22,8.219029260791398e-21,7.43591201843126e-21,2.220254630519345e-21,2.24619937025347e-21,1.184259700727303e-19,6.784025839704987e-20,1.3431369044041767e-22
trial2.mov,2818,0.1312216981131763,0.2193689761071302,0.006561084905658816,0.01096844880535651,1.070103958230208,0.027944032063987243,1.787949363945981e-18,1.0329943299058338e-19,11,1.6254085126781645e-19,9.390857544598489e-21,1.4612055354659492,2.3839324852613246e-20,3.5758988709284446e-22,6.132686393223758e-21,5.5965641882419125e-21,1.9066669686743596e-21,1.928944447423069e-21,8.304861756206829e-20,5.593711557965717e-20,1.0108984234909751e-22
trial2.mov,2941,0.1783660704096004,0.3342636525990921,0.008918303520480021,0.016713182629954602,1.2540961076201722,0.032583502772967475,3.0957550960579054e-18,1.7690967981014346e-19,19,1.6293447873988976e-19,9.311035779481235e-21,1.7069155679711363,4.127673461410574e-20,6.191510439777057e-22,1.0565420624379162e-20,9.554495725853006e-21,2.8321034625176496e-21,2.8651981630828807e-21,1.3851628642009506e-19,1.0093039473864278e-19,1.7258132954880037e-22
trial2.mov,3283,0.2050747924499973,0.2187806779612965,0.010253739622499865,0.010939033898064826,1.3475524165746668,0.03493958905797573,2.7620091388711607e-18,1.6354514911167646e-19,17,1.6247112581595062e-19,9.620302888922144e-21,1.4176815330528214,3.682678851828237e-20,5.524018498704182e-22,9.407150877127641e-21,8.475242036787105e-21,2.3566508062044626e-21,2.3841910735410554e-21,1.4190714906010987e-19,7.128305213934878e-20,1.5308694389101219e-22
trial2.mov,3284,0.0312432614555226,0.6816501241993773,0.0015621630727761303,0.03408250620996887,0.5025875556583853,0.013613758875708605,1.581925449112393e-18,9.455515351128802e-20,10,1.5819254491123929e-19,9.455515351128803e-21,-1.2530930641452636,2.1092339321498735e-20,3.163851024777614e-22,5.625364064102573e-21,5.461574477601257e-21,3.4499280154605296e-21,3.4901967170226935e-21,5.1867686035344886e-20,7.562979966990566e-20,9.865151951655582e-23
trial2.mov,3335,0.1417749775381924,0.4408473783852757,0.00708874887690962,0.022042368919263786,1.1138411808090238,0.029047025833868603,3.101272778231338e-18,1.758948915524881e-19,19,1.6322488306480727e-19,9.257625871183585e-21,1.888191675909658,4.135030370975136e-20,6.20254580456669e-22,1.0623231230664817e-20,9.671230650483266e-21,3.1818820836817496e-21,3.2190604923726334e-21,1.2343184640763566e-19,1.1733054525292675e-19,1.746898909915083e-22
trial2.mov,3370,0.1734199658487129,0.0979621382660561,0.008670998292435644,0.004898106913302806,1.236038580940966,0.032128230644039496,1.613841157187132e-18,1.0265514263314588e-19,10,1.613841157187132e-19,1.0265514263314587e-20,0.7391483887098618,2.1517882095828667e-20,3.227682443483039e-22,5.510197309800944e-21,4.986873362406927e-21,1.4972827818161917e-21,1.5147791622947407e-21,9.574314504747312e-20,2.9127810600392225e-20,9.007709651196224e-23
trial2.mov,3479,0.1666307277628016,0.1363342318058995,0.00833153638814008,0.006816711590294974,1.2108277627830752,0.03149258838370347,1.7626537887949006e-18,1.0756273138389869e-19,11,1.6024125352680915e-19,9.778430125808972e-21,0.025751265174250117,2.35020505172656e-20,3.5253077186028195e-22,6.022019342174187e-21,5.456243671911574e-21,1.668296264217324e-21,1.6877906878122728e-21,9.681271112009576e-20,3.965971024788061e-20,9.855525713342986e-23
trial2.mov,3502,0.2504400562522037,0.0880207884097065,0.012522002812610188,0.004401039420485325,1.4932942899195558,0.0386133680458968,2.4576693435418986e-18,1.641544681213443e-19,15,1.6384462290279323e-19,1.0943631208089619e-20,2.2750455073615674,3.2768924580558963e-20,4.915338883700078e-22,8.3480665199388e-21,7.48374194078244e-21,1.897716106611339e-21,1.9198947582419193e-21,1.5722077860825672e-19,3.1957314513738526e-20,1.3517763731060218e-22
trial2.mov,3560,0.1827190386799836,0.2066706105032949,0.009135951933999182,0.010333530525164746,1.2697823053949953,0.032978979370694175,2.3827090331112666e-18,1.4062763948193837e-19,15,1.5884726887408444e-19,9.375175965462558e-21,-0.8444014518823699,3.1769453774817245e-20,4.765418256840993e-22,8.128933828920808e-21,7.34625852807991e-21,2.1536880780413476e-21,2.178855361415025e-21,1.2099132432507454e-19,6.323176945736428e-20,1.3269429410887343e-22
trial2.mov,3625,0.1953938161260326,0.2483446329531561,0.00976969080630163,0.012417231647657805,1.314422807762318,0.034104402543283,2.816463340859006e-18,1.6446335024451793e-19,18,1.5647018560327812e-19,9.136852791362107e-21,-2.328223718303297,3.7552844544786946e-20,5.63292690703613e-22,9.59926112533415e-21,8.659330316884734e-21,2.4618739897629947e-21,2.4906433864242157e-21,1.3873225769663653e-19,7.881371966561628e-20,1.5641210067622572e-22
trial2.mov,3689,0.1122025725137415,0.1720858628943387,0.005610128625687076,0.008604293144716935,0.9865883541477491,0.025837588100735408,1.3287611771747822e-18,7.739641078480583e-20,8,1.6609514714684777e-19,9.674551348100729e-21,3.679867132863779,1.7716815695663862e-20,2.6575224606512056e-22,4.5706943458962504e-21,4.1925584127887905e-21,1.5322129659265969e-21,1.550113952725381e-21,6.336928468699186e-20,4.0216376270527784e-20,7.572950986491878e-23
trial2.mov,3703,0.1768045332215623,0.1166663662603072,0.008840226661078115,0.005833318313015361,1.2484224845302336,0.032440458767542875,1.7637579745219713e-18,1.1013639262094895e-19,11,1.6034163404745193e-19,1.0012399329177178e-20,0.08841076619970917,2.3516772993626394e-20,3.5275160901448187e-22,6.0202860304639355e-21,5.445578593382026e-21,1.6206493517357424e-21,1.6395874714910423e-21,1.013733786606109e-19,3.505820069611877e-20,9.836261590869791e-23
trial2.mov,3710,0.0960141903480695,0.0497682226686875,0.004800709517403476,0.002488411133434376,0.9097375052197544,0.023898829893710484,6.243104530433109e-19,4.060519137779274e-20,4,1.5607761326082772e-19,1.0151297844448185e-20,-2.5732751180850704,8.324139373910874e-21,1.248620956031864e-22,2.154096839085896e-21,1.986688502003156e-21,7.7812558929712045e-22,7.872157506118413e-22,3.815885963825281e-20,1.0656574067640504e-20,3.588523503056758e-23
trial2.mov,3721,0.1034425887465402,0.2032618799292886,0.005172129437327011,0.010163093996464432,0.9457460179085264,0.02480729192484894,1.3697045068558777e-18,7.892865009373267e-20,9,1.5218938965065307e-19,8.769850010414741e-21,-5.000380992101702,1.8262726758078513e-20,2.7394091232880137e-22,4.718927863453678e-21,4.3406625864121565e-21,1.6448347402493213e-21,1.664050683714109e-21,6.155930198625739e-20,4.538713019297561e-20,7.840469113545183e-23
trial2.mov,3724,0.2181347708894828,0.2480234294007951,0.01090673854447414,0.012401171470039758,1.3910310838256472,0.03603562732584465,3.1412429894830205e-18,1.847707069741432e-19,20,1.5706214947415102e-19,9.238535348707159e-21,-1.9587081934138433,4.1883239859773766e-20,6.282486230266296e-22,1.0689581949075246e-20,9.615378509401172e-21,2.5988211641446327e-21,2.6291921730378913e-21,1.586879834775815e-19,8.356625050762139e-20,1.7368104755964833e-22
trial2.mov,4151,0.1335103839637785,0.166821425509218,0.006675519198188926,0.0083410712754609,1.0797342572379456,0.028186903513664457,1.5463917618264372e-18,9.104917303883006e-20,10,1.5463917618264372e-19,9.104917303883006e-21,-3.47117591595273,2.061855682435263e-20,3.0927836473638106e-22,5.302538082563837e-21,4.836350327583174e-21,1.6348932465726546e-21,1.653995478678946e-21,7.722241932866732e-20,4.294771149221075e-20,8.735822129880972e-23
trial2.mov,4169,0.1480922254211567,0.1285293594643234,0.007404611271057834,0.006426467973216171,1.1392469129667107,0.02968768203060028,1.5083078271994683e-18,9.16699186179685e-20,9,1.675897585777187e-19,1.0185546513107611e-20,4.612833069737019,2.011077102932646e-20,3.016615775063728e-22,5.162853260570019e-21,4.693975962509679e-21,1.514185707945066e-21,1.531878417161315e-21,8.196117613883998e-20,3.5040981885999885e-20,8.4786536648008e-23
trial2.mov,4175,0.2306951323181338,0.1846490661739106,0.01153475661590669,0.00923245330869553,1.4316355480208696,0.03705916878805881,2.8850260299600644e-18,1.7550557750257115e-19,18,1.6027922388667025e-19,9.750309861253952e-21,0.04945311277793585,3.8467013732801057e-20,5.770052290722476e-22,9.810236995495995e-21,8.812054170667772e-21,2.321011414146818e-21,2.348136356291929e-21,1.5819208418602335e-19,6.412962601303269e-20,1.5917072868098927e-22
trial2.mov,4227,0.207963732444091,0.2234670971983493,0.010398186622204552,0.011173354859917467,1.3572866410480795,0.03518497992462493,2.832832486883499e-18,1.6759090602932183e-19,18,1.5737958260463883e-19,9.310605890517879e-21,-1.76056017188587,3.777109982511346e-20,5.665665200392871e-22,9.646465383102486e-21,8.687695338362062e-21,2.4002469188976178e-21,2.4282968054297407e-21,1.4524802934150599e-19,7.336574129596771e-20,1.5692445408214225e-22
trial2.mov,4518,0.2523555138329053,0.0720102876888343,0.012617775691645265,0.003600514384441715,1.4991444235334725,0.03876082518012632,2.3650225157598596e-18,1.6147060358280018e-19,15,1.5766816771732398e-19,1.0764706905520013e-20,-1.580419652107377,3.153363354346504e-20,4.7300452207195895e-22,8.032584619356128e-21,7.199620161818075e-21,1.8192388222224063e-21,1.840500362865934e-21,1.5577521007108028e-19,2.6252143560057526e-20,1.3004559096964637e-22
trial2.mov,4563,0.1301942482621861,0.3321942732016106,0.006509712413109305,0.01660971366008053,1.0657534035212233,0.027834311589772308,2.3478374650153305e-18,1.3367103603088487e-19,15,1.565224976676887e-19,8.911402402058991e-21,-2.2955694958247856,3.1304499533537936e-20,4.6956751178571815e-22,8.054222256927895e-21,7.351950407765567e-21,2.5135776701187737e-21,2.5429461787434963e-21,9.81994755713544e-20,8.433796732423282e-20,1.327971023252647e-22
trial2.mov,4656,0.1949637831820485,0.2604751205844731,0.009748189159102427,0.013023756029223656,1.3129323650378601,0.034066828242506265,2.887259654639253e-18,1.6797675954502032e-19,18,1.6040331414662516e-19,9.332042196945574e-21,0.12691270076476813,3.8496795395190375e-20,5.774519540260005e-22,9.840868180471786e-21,8.8778002977194e-21,2.526536449121249e-21,2.5560614645939313e-21,1.4045782756969387e-19,8.256423644107279e-20,1.603582890310614e-22
trial2.mov,4727,0.2285787278682162,0.0756930147444241,0.01142893639341081,0.003784650737221205,1.4248725716975552,0.036888692992713856,2.102986513857939e-18,1.4156685893392214e-19,13,1.6176819337368762e-19,1.0889758379532471e-20,0.9788972370085034,2.803982018477294e-20,4.2059731959552243e-22,7.151874238225225e-21,6.425642776185119e-21,1.699666908668682e-21,1.7195303249759507e-21,1.3591262275118076e-19,2.615776736839843e-20,1.1606536031821874e-22
trial2.mov,4806,0.2550344502144004,0.1064333641592498,0.012751722510720022,0.00532166820796249,1.5072892628266397,0.03896612102138754,2.6505939232857778e-18,1.7360335754309078e-19,17,1.5591728960504575e-19,1.0211962208417105e-20,-2.673352306463324,3.534125231047749e-20,5.301188058619043e-22,9.001288816977317e-21,8.065855631564923e-21,2.0281785399613363e-21,2.0518820545072534e-21,1.649594342726708e-19,3.902306333472746e-20,1.4569226420298786e-22
trial2.mov,4832,0.1648572354434345,0.1630986350357178,0.008242861772171725,0.00815493175178589,1.2041580463882833,0.031324420454637944,1.8968826765677874e-18,1.1354515556724782e-19,12,1.5807355638064895e-19,9.462096297270652e-21,-1.3273680520293683,2.529176902090394e-20,3.793765504886506e-22,6.481693545349947e-21,5.8745279336821655e-21,1.8049605982175253e-21,1.826051881417751e-21,9.97234164726612e-20,4.716777518254126e-20,1.0611065880321612e-22
